"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.767087208E0,4.674017513E-3,2.917517357E-3,3.642815351E-3,6.605183641E-3
2.777120208E0,6.663139779E-3,1.402448393E-2,1.741827071E-2,2.333408956E-2
2.787153208E0,1.923185773E-4,8.909741674E-3,-5.426216125E-4,8.928321306E-3
2.797186208E0,-2.085190192E-3,-1.963302012E-3,1.757029831E-2,1.780218963E-2
2.807219208E0,-3.345347391E-3,-1.200363709E-3,1.401577592E-3,3.820555189E-3
2.817252208E0,1.615549140E-3,2.453785191E-3,9.507572651E-4,3.087879557E-3
2.827285208E0,1.175061939E-3,6.183877088E-3,1.127752483E-2,1.291524962E-2
2.837318208E0,-1.486644530E-2,-5.117995912E-3,-1.072671711E-2,1.903332703E-2
2.847352208E0,1.465367060E-4,1.781812204E-3,-7.580330372E-3,7.788307665E-3
2.857385208E0,-8.119681198E-4,2.144719872E-3,-2.420747280E-4,2.306017288E-3
2.867418208E0,7.128121331E-5,3.900750652E-3,1.008820117E-2,1.081631820E-2
2.877451208E0,1.166135799E-2,3.082512764E-3,1.727384448E-2,2.106833781E-2
2.887484208E0,8.287880011E-3,-6.781349466E-3,8.439871073E-3,1.363477464E-2
2.897517208E0,7.462974926E-3,-7.708764692E-3,1.023262739E-2,1.482658798E-2
2.907550208E0,1.806515548E-4,-1.764809826E-2,-8.478462696E-4,1.766937606E-2
2.917583208E0,-4.531637812E-3,5.756307438E-3,3.473246098E-4,7.334265536E-3
2.927616208E0,-8.901389977E-3,-1.241293077E-3,1.965716958E-2,2.161434403E-2
2.937649208E0,-1.866692534E-2,8.942090938E-3,-1.282177448E-2,2.434775129E-2
2.947682208E0,-5.596954823E-3,2.636076707E-3,3.197842240E-3,6.964265839E-3
